Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
19 lines of code for unit TripshotService.processTripshotResponse(TripshotRouteResponse),LOW,RAW,8,TripshotService.processTripshotResponse(TripshotRouteResponse),server/services/tripshot.service.ts#L322:345,TypeScript,19,5,1
19 lines of code for unit TransitModel.getPatterns(string),LOW,RAW,8,TransitModel.getPatterns(string),server/models/transit.model.ts#L108:127,TypeScript,19,4,1
19 lines of code for unit RouteSelectorPanel.constructor(),LOW,RAW,8,RouteSelectorPanel.constructor(),client/scripts/components/route-selector.ts#L34:53,TypeScript,19,1,0
19 lines of code for unit NotificationModel.searchNotifications(any),LOW,RAW,1,NotificationModel.searchNotifications(any),server/models/notification.model.ts#L320:349,TypeScript,19,6,1
19 lines of code for unit TimePickerPanel.constructor(),LOW,RAW,8,TimePickerPanel.constructor(),client/scripts/components/time-picker.ts#L27:48,TypeScript,19,4,0
"18 lines of code for unit GoogleMapProvider.animatePosition(ILatLng,any)",LOW,RAW,8,"GoogleMapProvider.animatePosition(ILatLng,any)",client/scripts/maps/google-map.provider.ts#L89:105,TypeScript,18,6,2
18 lines of code for unit map.ts.getMapConfig(),LOW,RAW,8,map.ts.getMapConfig(),client/scripts/map.ts#L195:212,TypeScript,18,4,0
18 lines of code for unit TrueTimeService.getDetourGeometry(string),LOW,RAW,8,TrueTimeService.getDetourGeometry(string),server/services/truetime.service.ts#L222:231,TypeScript,18,4,1
18 lines of code for unit User.validateUsernameFormat(string),LOW,RAW,8,User.validateUsernameFormat(string),server/models/user.model.ts#L705:725,TypeScript,18,3,1
18 lines of code for unit csv-parser.ts.parseCSV(string),LOW,RAW,8,csv-parser.ts.parseCSV(string),client/scripts/utils/csv-parser.ts#L11:36,TypeScript,18,4,1
18 lines of code for unit MapStateManager.constructor(),LOW,RAW,8,MapStateManager.constructor(),client/scripts/state/map-state.ts#L39:57,TypeScript,18,1,0
18 lines of code for unit RouteDataService.loadRouteData(),LOW,RAW,8,RouteDataService.loadRouteData(),client/scripts/services/route-data.service.ts#L68:88,TypeScript,18,2,0
18 lines of code for unit URLSyncManager.parseURL(),LOW,RAW,8,URLSyncManager.parseURL(),client/scripts/state/url-sync.ts#L39:94,TypeScript,18,11,0
18 lines of code for unit TransitModel.getRoutes(),LOW,RAW,8,TransitModel.getRoutes(),server/models/transit.model.ts#L82:101,TypeScript,18,3,0
17 lines of code for unit AccountController.forceLogoutUser(string),LOW,RAW,8,AccountController.forceLogoutUser(string),server/controllers/account.controller.ts#L322:342,TypeScript,17,3,1
"17 lines of code for unit App.validateToken(Socket,void)",LOW,RAW,8,"App.validateToken(Socket,void)",server/app.ts#L291:311,TypeScript,17,3,2
17 lines of code for unit ModerationService.moderate(string),LOW,RAW,1,ModerationService.moderate(string),server/services/moderation.service.ts#L36:54,TypeScript,17,6,1
17 lines of code for unit TrueTimeService.getVehicles(string),LOW,RAW,8,TrueTimeService.getVehicles(string),server/services/truetime.service.ts#L288:309,TypeScript,17,3,1
"17 lines of code for unit BusController.getMemorySamples(Request,Response)",LOW,RAW,8,"BusController.getMemorySamples(Request,Response)",server/controllers/transit.controller.ts#L102:119,TypeScript,17,2,2
"17 lines of code for unit User.updatePassword(string,string)",LOW,RAW,8,"User.updatePassword(string,string)",server/models/user.model.ts#L677:699,TypeScript,17,2,2
16 lines of code for unit MemoryMonitorService.getSummary(),LOW,RAW,8,MemoryMonitorService.getSummary(),server/services/memory-monitor.service.ts#L130:145,TypeScript,16,1,0
"16 lines of code for unit NotificationController.searchNotifications(Request,Response)",LOW,RAW,1,"NotificationController.searchNotifications(Request,Response)",server/controllers/notification.controller.ts#L173:190,TypeScript,16,2,2
16 lines of code for unit TransitModel.getAllTransitData(),LOW,RAW,8,TransitModel.getAllTransitData(),server/models/transit.model.ts#L271:300,TypeScript,16,5,0
"16 lines of code for unit User.updateEmail(string,string)",LOW,RAW,8,"User.updateEmail(string,string)",server/models/user.model.ts#L650:670,TypeScript,16,2,2
16 lines of code for unit TrueTimeService.getRoutes(),LOW,RAW,8,TrueTimeService.getRoutes(),server/services/truetime.service.ts#L180:199,TypeScript,16,5,0
16 lines of code for unit RouteRenderer.hideRoute(string),LOW,RAW,8,RouteRenderer.hideRoute(string),client/scripts/renderers/route-renderer.ts#L307:325,TypeScript,16,4,1
16 lines of code for unit DarkToggle.connectedCallback(),LOW,RAW,8,DarkToggle.connectedCallback(),client/scripts/components/dark-toggle.ts#L8:29,TypeScript,16,2,0
16 lines of code for unit RouteRenderer.showRoute(string),LOW,RAW,8,RouteRenderer.showRoute(string),client/scripts/renderers/route-renderer.ts#L330:348,TypeScript,16,4,1
