route_id,segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,18,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5e91626f-13ea-4af1-a4de-f3e56109a7e0,173,21
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,19,b953e313-52af-41ea-97cc-4f6b3f37614b,cc2eb61a-f787-484e-af8f-328d7920ba0d,237,37
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,20,c12d429c-2505-4899-b9fe-c9ce1842b7ce,2b4ab56e-c7bc-4962-84f8-fab85b5f2482,181,27
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,21,c12d429c-2505-4899-b9fe-c9ce1842b7ce,f5fa2c8f-86c0-4dc4-8f5a-e82cbe9282fb,496,74
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,22,cc2eb61a-f787-484e-af8f-328d7920ba0d,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,716,122
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,23,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,373,81
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,24,da8b446b-4f2f-4789-913a-f8121c569fd1,b953e313-52af-41ea-97cc-4f6b3f37614b,417,58
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,25,ea8d68f1-43fe-4539-9b7b-91a5e173abe3,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,353,88
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,26,f32c4dc4-4df2-457f-9b7a-240aa8a48667,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,146,18
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,27,f32c4dc4-4df2-457f-9b7a-240aa8a48667,8147e144-03bc-4812-90dc-9668c43d847a,1707,254
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,28,f32c4dc4-4df2-457f-9b7a-240aa8a48667,f1d04a03-ab28-4ad3-bfe3-4af2b1ad0ca9,440,52
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,29,f5fa2c8f-86c0-4dc4-8f5a-e82cbe9282fb,82712690-72cb-4cad-ae6b-f2697bd8105f,1558,230
07c26a10-420f-4324-8f36-c91bc1630e9f,0,076c69a1-d116-4350-991f-e18676b95b43,64aa846f-36fb-446d-99c4-cd33e19583de,176,26
07c26a10-420f-4324-8f36-c91bc1630e9f,1,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,5e91626f-13ea-4af1-a4de-f3e56109a7e0,164,17
07c26a10-420f-4324-8f36-c91bc1630e9f,2,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,da8b446b-4f2f-4789-913a-f8121c569fd1,197,36
